,Quarter,dln_neer,dln_usd_jpy,dln_eur_jpy,dln_import_price,dln_export_price,dln_real_imports,dln_real_exports
0,2000Q2,0.020746759183265517,-0.004233915674387134,-0.05973108321537346,-0.011115636482709412,-0.01076506889180795,0.03827968792905523,0.030994438684462722
1,2000Q3,0.004059913189710329,0.009026804425787738,-0.021392604958172967,0.013875346493616547,-0.0032851540714577965,0.025414824733015706,0.016509333262185066
2,2000Q4,0.0014027483410874453,0.02067256977448384,-0.020986727508269354,0.02026569745958362,-0.0006583278710419194,0.03668779026937585,-0.003836841021563231
3,2001Q1,-0.07623493570429485,0.07255844737762551,0.1338821623619708,0.016832838150231844,0.04538188205090776,0.0018279131456893083,-0.03674064184334824
4,2001Q2,-0.014824835947493398,0.037818186417320376,-0.018661645222222134,0.012066511413117098,0.0012578618010739007,-0.022155124725490083,-0.03882288662753908
5,2001Q3,0.004143964978091219,-0.007308542798827311,0.012834120281638661,-0.02658720980496998,-0.01839569793815965,-0.02936616109766277,-0.0215291625016647
6,2001Q4,-0.0142094575725622,0.015529511337530444,0.021809626513033642,-0.03048301672507492,-0.00900327624995878,-0.03142816688001204,-0.0195457066546858
7,2002Q1,-0.06314365374080655,0.0688280620688202,0.047069403417363986,0.0273989741881131,0.0429901849313703,0.00935683666711995,0.04489425325045815
8,2002Q2,0.02528401601888941,-0.04168569068307182,0.0053546752734137115,0.0019286409064056542,-0.029834211450308956,0.02912903908590181,0.06953703368591135
9,2002Q3,0.04355365331694827,-0.06424140293733771,0.00404446294511196,-0.03689586472236872,-0.040330669060376856,0.03331250566102284,0.010506871576740906
10,2002Q4,-0.025594638528016134,0.030980573139856915,0.04672480892873132,0.03380825130841014,0.015478655816126619,0.014004349754504375,0.033003710207133
11,2003Q1,0.011191678449139708,-0.03371167963107613,0.037513179148460196,0.0061657228085358895,-0.010842885924708945,0.0066498725340800036,0.013344304499856463
12,2003Q2,-0.01432484028117642,-0.0032166621683149543,0.05480074027567117,-0.015876422537886015,0.0036273741340027144,-0.03278129743578262,0.0014708981298490187
13,2003Q3,0.007402915901346674,-0.007372858951028682,-0.018407198491532384,-0.0023446669592539493,-0.011587615172387267,0.023830312934528308,0.0348585947837492
14,2003Q4,0.0591534785066834,-0.07656543059790444,-0.021034858524488165,-0.03787576510636992,-0.04739253990279124,0.023163745599941166,0.04964547280943421
15,2004Q1,-0.00020250430390866825,-0.015508459241195816,0.034314277027061024,0.027651531330509904,0.015933832084995103,0.02918866676978027,0.04834967820915992
